segment_id;speaker;text;phase
seg_0035;suspect;Um Um, you know, I may have met her.;1
seg_0036;suspect;Um, jeez. You know.;1
seg_0037;detective;Uh, well, let me see. Let me ask you. You said you you dated John. How long did you guys date?;1
seg_0038;suspect;I mean, well, are you guys is this something I mean, you said I was going to interview somebody about art and how you guys are;1
seg_0039;detective;Here's I mean, Stephanie, here's the situation is basically we, you know, we knew that this when we saw this in the in in this chrono that maybe, you know, there was some relationship there. That's what the chrono seemed to indicate. And we didn't want to come up to you at your desk and ask those kinds of questions or do anything. you know how up there people can see what's going on if you go into an interview room or people are in there getting supplies.;0
seg_0040;detective;So we we wanted to afford you some privacy, some confidentiality to talk about this because we thought it might be you know something you know you're married to someone else obviously and so forth and that you may not want to you know talk about these things in that setting where someone you know we don't want the rumor mill or gossip or any of that kind of stuff.;0
seg_0041;suspect;That's fine.;1
seg_0042;detective;I mean, so we did this just as as a means to try and speak to you in just a confidential place where you you know where where your business isn't out there for other people in you know your division.;0
seg_0043;suspect;I mean, you know, God, that's been a million years ago. I mean, you know, um what year is it now?;1
seg_0044;detective;2009.;1
seg_0045;suspect;I mean, I graduated in ' 82.;1
seg_0046;detective;82.;1
seg_0047;suspect;Yeah. Um, you know, we dated um I dated other guys. I'm sure he dated other girls.;1
seg_0048;detective;Um Well, let me ask you roughly how long would you would you say you guys dated?;1
seg_0049;suspect;Oh jeez. Um, I couldn't even say. I mean, I started school there in 78. I started UCLA 1978. I graduated in ' 82.;1
seg_0050;detective;Um, I don't even remember what year he graduated, if it was a year or two before me.;1
seg_0051;suspect;Okay.;1
seg_0052;detective;Um, I think he was a little bit older than I was.;1
seg_0053;suspect;I mean, you know, I can't remember if he was born, let's say, I was born in 60, 1960. I don't know if he was born in 58 or 59.;1
seg_0054;suspect;I mean, I, you know, um I mean, I knew his parents. I knew his sister. His brother went to Northridge.;1
seg_0055;suspect;Um um you know, his sister spent the night at my house before.;1
seg_0056;suspect;Obviously, I spent the night at his house before.;1
seg_0057;suspect;He probably spent the night at my house before.;1
seg_0058;suspect;Um, you know, I you know, I don't know;1
seg_0059;detective;Well, correct me if I'm wrong, cuz from what you're telling me is you guys dated while you were in college together, right?;1
seg_0060;suspect;Yeah.;1
seg_0061;suspect;And probably after college.;1
seg_0062;suspect;Um, I can't jeez.;1
seg_0063;suspect;Um, trying to think when I met my husband.;1
seg_0064;suspect;I met my husband in when did I meet Scott?;1
seg_0065;suspect;Um, let's see. I was teaching DARE because I met Scott when I was teaching DARE up in Oregon.;1
seg_0066;suspect;But we had long stopped, you know, dating before that.;1
seg_0067;detective;So, you haven't talked to him for a long time?;1
seg_0068;suspect;Oh, I I think I haven't talked to him in a long time.;1
seg_0069;suspect;Um, I couldn't even tell you when the last time I talked to him.;1
seg_0070;suspect;Um, I met Scott, I'm thinking in '92, maybe. Um, April of '92. ;1
seg_0071;suspect; Yeah. I'm trying to think. I was teaching DARE. Let's see. What year is this? This is We'll be married. I got married in 1996. I think I met Scott in '92. Prior to that, I couldn't tell you how long I had talked, you know, talked to John prior to that.;1
seg_0072;detective;But since you since you met your husband, Scott, you haven't talked to him?;1
seg_0073;suspect; I mean, he may have called me uh once or twice before we got married, right? Um, you know, gez, I I lived I moved to see me in 1994 because I lost my house in the earthquake. Oh. Um, uh, quite honestly, I probably keep in contact with a few people from the dorms. We, we all, we all lived on the 10th floor. Um, and, um, there's about three or four people I keep in contact with. There's probably like six or eight of us that were all really close.;1
seg_0074;detective;And who are those people?;1
seg_0075;suspect;Oh, jeez. Um, Diana Basta. um the people I still keep I I haven't been in contact with her in a long time.;1
seg_0076;suspect;Um I mean what you know what's what's I mean what's this all about?;1
seg_0077;detective;I mean well let me ask you what ended the relationship between you and John girlfriend. Um we just we dated. We did things. cuz I played sports in college. He played basketball. His brother played basketball. Um, we just, you know, it just didn't work out. I mean, I don't know what to tell you. It was like I went out with other guys. Um, saw other guys. I went on lots of vacations.;1
seg_0078;suspect;It was kind of a weird relationship. I mean we we we dated. Um I can't say that he was my boyfriend. I don't know that he would consider me his girlfriend. Um we just we dated. We did things. cuz I played sports in college. He played basketball. His brother played basketball. Um, we just, you know, it just didn't work out. I mean, I don't know what to tell you. It was like I went out with other guys. Um, saw other guys. I went on lots of vacations.;1
seg_0079;detective;Um, you know, and and once you guys split, were you guys still friends or kind of, you know, problems? Is it friendly? Not friendly?;1
seg_0080;suspect;No, I don't think it was not friendly. I mean, we were friendly. Um, uh, I know that we went to Hawaii um, at one point. Um, another friend of mine who's actually dying right now, uh, was went to Hawaii with us, um, at some point.;1
seg_0081;detective;Um, remember roughly when that was?;1
seg_0082;suspect;Oh jeez. Um, let me think. I'd have to check my pictures. Um or I'd say I'd ask Greg, but my friend Greg is like dying of liver cancer right now.;1
seg_0083;detective;Had you ever met his wife?;2
seg_0084;suspect;I may have;2
seg_0085;detective;Do you know do you remember her name or anything or um um or what she did for a living or where she worked or anything about her?;2
seg_0086;suspect;Well, I think she... I'm going to say I think she was a nurse.;2
seg_0087;suspect;Um, man, I can't even remember how he he said he met her. Uh, yeah. I mean, I I Yeah, I mean, it's been so long ago.;2
seg_0088;detective;Well, let me ask you, did you go to their wedding?;2
seg_0089;suspect;You know, no, I didn't go to their wedding. Um, no, I don't did not go to their wedding. Um, couldn't even tell you what year we got married. I mean, you know, it's it's been a million years ago.;2
seg_0090;detective;Do you ever remember if you ever talked to her? cuz it seems like a lot of you who were at at the school at UCLA, you guys kind of were friends during and after school. So, I don't know if you guys still associated afterwards when once he was married or anything with him.;2
seg_0091;suspect;Yeah. No, I don't think so. I mean, I would say, you know, the the people that were on the dorm floor, we'd have we'd have gettogethers. Um there's probably like four or five. I don't think he ever came. Um, yeah. I don't think No, there was there was like it was mostly girls, you know. Um, girl named Smeita Diane. Um, there's there's two Dian's, but the one Diane, I don't think she ever came. I kind of lost contact with her. We were good friends on the floor.;2
seg_0092;suspect;Um, yeah. I mean, I don't you know, again, I I mean, what you know, I don't understand why you're talking about some guy I dated a million years ago.;2
seg_0093;detective;Well, do you know what happened to his wife?;2
seg_0094;suspect;Yeah, I know. She got killed.;2
seg_0095;detective;What did you What did you hear about that?;2
seg_0096;suspect;I I saw a poster at work. Um I'm sure I spoke to him about it. Um I think I spoke to another friend of his about it.;2
seg_0097;detective;Um and how did how did you first learn about that?;2
seg_0098;suspect;Jeez. Someone could have called me. I could heard it at work. Um I think at one point there may have been a flyer or something. I know a good friend of his;2
seg_0099;detective;Were you on the job back then when that happened?;2
seg_0100;suspect;Yeah, I think so. Yeah, I'm sure I was on the job. That's who I would have heard about it with the flyer.;2
seg_0101;suspect;Um he had a good friend, Mike Buldrick. Mike um anyways, a he may have lived in the dorms. I don't remember if that's how I met him.;2
seg_0102;suspect;Um I I may have talked to him. I mean, you know, I don't remember how I heard. I mean, I don't even remember what year it was.;2
seg_0103;suspect;And you think you you thought you said you thought his wife was a nurse. Do you have any idea where she was working at the time or did he ever mention that to you? Was it a hospital or a doctor's office?;2
seg_0104;detective;I'm sure he must have mentioned it now. Now that you're bringing that up, I think she worked at a hospital somewhere.;2
seg_0105;suspect;And yeah, I may have met her at a hospital. Um I may have talked to her once or twice. um at a at a hospital or more um you;2
seg_0106;detective;know but being that you were kind of you used to see uh John you know was it everything okay between you guys? I mean there wasn't every anything uncomfortable or anything between you and her?;2
seg_0107;suspect;Um you know I don't know. I mean it's God it's been so many years. I mean, uncomfortable. I mean, I can't even I can't even remember if we had a conversation. I mean, we may have I may have I may have seen her at his apartment, you know. Jeez, how many years ago was that? I don't even know what year she, you know, got killed.;2
seg_0108;detective;Where was his apartment?;2
seg_0109;suspect;On Rosco.;3
seg_0110;detective;Okay. Yeah. Rosco in um um east or west of do uh either east or west of Dodto. Do you know where he moved after did he move after he got married or do you know or I'm sure he did. Did you know where he was living or somewhere in the valley? Did you ever visit him and his wife?;3
seg_0111;suspect;No. No. never went out, you know, get together, dinners, anything of that nature.;3
seg_0112;suspect;Like I said, his sister used to come over. His sister had had come to my place. I knew his I knew his brother cuz his brother played basketball at Northridge. Um, in fact, I was just coming across some pictures that I just scan uh scanned from um I take a lot of photos. Um like 10,000. And I just did a service where I scanned everything. Um, and I'd seen some pictures of his brother playing basketball.;3
seg_0113;detective;You just put them all on your computer so you could have them accessible and do things with them.;3
seg_0114;suspect;Well, my partner is a big photo thing and he had a deal to scan. So, I spent a ton of time just scanning photos. I mean, I paid a company to do it. Mhm. Um, so I've got photos of I mean his brother, his sister, you know, 10,000 pictures.;3
seg_0115;detective;Oh, yeah. How long did that take them?;3
seg_0116;suspect;Months.;3
seg_0117;detective;Now, what what do they do they put that on a I'm just curious myself. And they put it on they get get all on one DVD. They don't need like a hard drive or anything.;3
seg_0118;suspect;No, no, there's like I think 11 DVDs.;3
seg_0119;suspect;Yeah. I haven't even I don't even have time.;3
seg_0120;detective;Oh, they It's a series of DVDs that they put them on.;3
seg_0121;suspect;Oh, yeah. Okay. Yeah. I mean, I got I'm not that familiar with computer stuff, so that's why I was asking. It's like 11 DVDs.;3
seg_0122;detective;Oh, okay. So, you know, um I haven't had a chance to go through them.;3
seg_0123;suspect;I I You could go through and pick which ones you don't want. I don't have time to do that.;3
seg_0124;detective;Right. you know, so so like you said, did I, you know, I I don't think we ever socialized.;3
seg_0125;suspect;Um, you know, he'd still call me.;3
seg_0126;suspect;Um, I can't say that I would I mean, if he's married, I don't know that I would have called him. I mean, maybe. Who knows? I you know, I I don't know. It's been a million years ago.;3
seg_0127;detective;How long was John married before his wife died?;3
seg_0128;suspect;I couldn't I have no idea. I have no idea.;3
seg_0129;detective;And uh after his wife died, did did you talk to him again or or anything?;3
seg_0130;suspect;Yeah. I mean, I did talk to him. I talked to him. Probably his parents. Um, probably some other friends. Um, you know, I'm sure I talked to him.;3
seg_0131;detective;Yeah.;3
seg_0132;detective;Um, but you you don't you're not sure where he moved to after he got married?;3
seg_0133;suspect;No idea. I mean, never went over to to visit him or I don't think I mean, I don't think so.;3
seg_0134;suspect;I mean, um I don't know. I don't I mean, I don't think I did.;3
seg_0135;suspect;Um, I mean I know he lived on Rosco for a long long time.;3
seg_0136;suspect;Um, I mean he I may know I mean he may have told me where they lived somewhere in the valley. I mean he may have said I lived over such and such but I I couldn't tell you specifically where.;3
seg_0137;detective;But you don't remember specifically ever going over to visit him or visit them at where wherever he moved when he left Rosco?;3
seg_0138;suspect;I I I honestly I don't know. I don't think so.;3
seg_0139;suspect;"But okay, you know, I don't want to say no, I don't think so. And then he says, ""Oh, yeah, she came over for something. Drop something off."" You know, I'm I don't know.";3
seg_0140;detective;"So, if you did go over there, it just be like a a quick thing like like you're saying, ""Drop something off or maybe?""";3
seg_0141;detective;Um, but you don't remember as far as like going there to have dinner or like a social anything at the house, party?;3
seg_0142;suspect;Well, if you guys know something, I I just I can't I don't know. I don't think so.;3
seg_0143;detective;I mean, but after uh John's wife died and you said you may have been talking to him. Did uh your relationship start up again?;4
seg_0144;suspect;I would say no.;4
seg_0145;detective;Um again, can you give me a year?;3
seg_0146;suspect;I mean, this is like 2009. She died in 1986.;3
seg_0147;detective;Yeah, I think it was 86.;3
seg_0148;suspect;1986. Okay.;3
seg_0149;detective;Um, like I said, I'm I'm faintly remembering that um I went to Hawaii with my friend Greg. Greg and I got certified for scuba diving.;3
seg_0150;suspect;Um, and I'm thinking that John met us there, meaning Greg and I.;3
seg_0151;suspect;Um, that could have been I got certified toward the end of 88 or I mean 20 yeah 88 89 um cuz I got recertified again and it had been like over 10, 10 years.;3
seg_0152;suspect;So I got certified my husband and I got certified.;3
seg_0153;suspect;Um, and I'm pretty sure that John met us there.;3
seg_0154;suspect;Um, again, I'd have to tell you what year it was. I'd have to look at my pictures.;3
seg_0155;suspect;Um, you know, um, and other than that, I can't even say he may have called me, you know, at my home.;3
seg_0156;suspect;Um, I may have called him. Um, I don't think he got together with our group. Um, I don't think Pat's his wife's desk. Uh even before I don't you know we went to weddings together. I you know did you I've got pictures I like I said I couldn't tell you years. It's been a million years ago after he after he got uh married or whatever. Were you were you dating anybody in particular let what year? 1986 you said I think he got married in around 8586 something like that. Were you seeing anyone seriously or?;3
seg_0157;suspect;God, I couldn't say. Um, geez, I'm trying to think. I mean, um, you know, I dated a fireman. Um, what was his name? Mike Art. Um, and I'm trying to think. Was he LFD or He was LFD. Um, I'm trying to think when I went I probably met Mike. I went to Devincshire. Let's see. I left Hollywood in 80. I I worked Hollywood 84 to 85 I think and then I went to Devonshire and that's when I met Mike um and some other firemen and what the station next door?;3
seg_0158;suspect;No actually cuz I used to work Hollywood so I just wonder if it was the station.;3
seg_0159;suspect;No no it was in when I worked Devincure I met Mike. Oh okay. All right. And I'm trying to think. I went to Devonshire in ' 85 and I'm thinking that I would have met him probably sometime shortly after I went to Devincure cuz I met him and his I actually met his buddies at a fire. Um and then Mike and I dated, you know, just really kind of casually. Um and we remain very I mean we remain good friends.;3
seg_0160;detective;Um you still in touch with him?;3
seg_0161;suspect;Unfortunately, he passed away. He died in a um he had a car crash.;3
seg_0162;detective;Oh, really? ;3
seg_0163;suspect;Um he did race cars and um he went heading into a wall. I couldn't tell you what year that was. Um but he passed away. He was in a coma and they pulled the uh the plug, right? Seems like uh anyway.;3
seg_0164;suspect;Um, so, you know, I couldn't even tell you what what year. I'm thinking I went to Devon in 85 and I know I met the guys because I it was kind of a funny incident of how I met them and that's how I remember it was sometime probably 85 right um you know specifically I don't even know if they remember the other two are now married to somebody else cuz I kind of all three I mean did you kind of socialize like when you were out with Mike did those guys come out with you too was it kind of like did you do stuff with his friends or;3
seg_0165;suspect;Well um there were three there was two firemen Eric and Gary um I met them first, then they introduced me to Mike. So, that's how I met Mike and Mike dated. Mike Mike and I dated. Mhm.;3
seg_0166;detective;So, um and and not I wouldn't even say I couldn't even tell you for how long because then it would say we decided you know it wasn't working out and we'd be better friends and you know he introduced me I think to some other guy on that who now is on LAPD.;3
seg_0167;suspect;Um uh Randy Cordobus. Um, I don't think I know. He's a detective. He's got a twin brother who's on the fire department. That's how I met Randy.;3
seg_0168;suspect;Um, because he had a twin brother, identical twin on the fire department.;3
seg_0169;suspect;Yeah. Oh, okay. And that was um I I'm God, I'm trying to remember if Mike may have I'm trying to remember. Mike may have dated um a girl that he dated. Oh God, it sounds too weird. Um, Randy may have dated a gal that Mike was dating and that and then Mike Randy broke up with that gal. I couldn't even tell you the gal's name if I'm even thinking of the story right. And then I started dating Randy.;3
seg_0170;detective;Yeah. I you know so again I mean not like I was a huge floozy or anything but;3
seg_0171;suspect;no but you know I mean a lot of times right at least from my female partners that I've had you know it's hard dating guys that aren't involved in kind of our circle right because some a lot some guys are intimidated by you know women police officers;3
seg_0172;detective;yeah Randy was like an engineer at the time uh he was like a some kind of an engineer on a truck on a rig on a fire truck;3
seg_0173;suspect;No um an engineer um oh professional engineer I think He lost a job and then came on on the department.;3
seg_0174;detective;I see. So, um, getting back to some stuff, as far as you recall, after John's wife died, I did you start a relationship again with with John or dating casually or anything like that?;3
seg_0175;suspect;Like I said, he met Greg and I in Hawaii.;3
seg_0176;detective;Okay. Um, that was something you guys kind of planned together like go as a group or you ran into him or;3
seg_0177;suspect;"No, I I think that obviously I must have talked to him and I said, ""Hey, I'm going to Hawaii with my buddy Greg. We're we're sc we're scuba we just got certified scuba diving. Um, uh, we're going to be in Hawaii. Hey, if you want to come and join us, come join us.""";3
seg_0178;detective;Right.;3
seg_0179;suspect;And I I think that's what it was. Um, I I may have asked some other people to as well.;3
seg_0180;suspect;Um, you know, uh, what island did we go to? I think the Big Island and Kauaii. He either met us on the Big Island or Kauaii. I'm thinking of SC Greg and I might have scuba dived a lot in on the Big Island as well as Kauaii. I'm I I don't remember which island. Again, I'd have to look at my pictures. ... on my vacations. I mean, I was always gone for at least a month. Um, and I would go places and I would either run into people or, you know, you know, meet people. Um, and Greg, this Greg we're talking about, he was like someone you were dating or just a buddy or Um, I traveled a lot um;3
seg_0181;suspect;No, you know what? I would I would say we started out um probably just buddies. Um, and either I was with somebody or he was with somebody, but it was all we it was kind of like we ended up just kind of being like brother and sister. Um, and maybe he wanted something more, but um, you know, it just it never, you know, worked out, but we we we did things together. Um, you know, I consider them I've probably known him, let's see, I've been on the job almost 26 years. I've probably known Greg 23, 24 years.;3
seg_0182;detective;Um, does he still talk to him?;3
seg_0183;suspect;Oh, yeah. He's dying of liver cancer right now. Yeah. Yeah. I'm sorry.;3
seg_0184;suspect;Yeah. So, um, so, you know, I I consider him a good friend. Um, you know, um, you know, I don't know what to tell you on that.;3
seg_0185;detective;Um, I mean, when when you heard about uh John's wife being killed, I mean, what was your what was your reaction? I mean, did you thought you heard about it what through a friend or in a bulletin or something?;3
seg_0186;suspect;Um I obviously I mean I called I called the family. Um I I called maybe some of his friends that that that I knew and I mean obviously it shocked you if you're if I heard it at work, you know. Um which I may have I I faintly remember a bulletin going around. Um either that or somebody called me. I I also don't remember.;3
seg_0187;suspect;"Um uh and then I called probably called his family. um called uh I don't initially I can't say if I initially spoke to him or not. I honestly don't remember. I may have said to somebody, ""Hey, have him call me if he wants to talk."" And then he may have done that.";3
seg_0188;detective;Um you know, um do you know what the circumstances regarding her death?;3
seg_0189;suspect;Jeez, let me think back.;3
seg_0190;suspect;Um, jeez. I don't know if it was, you know, if it was a burglary or something.;3
seg_0191;suspect;Uh, yeah, it's I mean, it's been so many years.;3
seg_0192;suspect;I I mean, I can faintly think that I may have saw a flyer.;3
seg_0193;suspect;May have had her picture on it, you know.;3
seg_0194;suspect;That's why I say if somebody had called me, I may not have known what her last name was. I may have I mean, maybe if you told me, I would remember it.;3
seg_0195;detective;Um, do you remember her first name?;3
seg_0196;suspect;Shelly um Sherry I don't know something maybe you know um like I said it's been so many years and um from all the years as far as you can remember you don't do you remember ever talking to her just well I said earlier you know I I mean I may have you know I may have talked to her um I it sound I you know you mentioned a hospital maybe you may have talked to her at a hospital.;3
seg_0197;detective;Yeah.;3
seg_0198;suspect;Um, yeah, I may have, you know, I'm I'm thinking back now you guys are bringing up all these old memories. No, I kind of dust off the conversation, you know. I mean, jeez.;3
seg_0199;suspect;Um, I'm thinking that because I mean, we would date, he would date other people, I would date other people.;3
seg_0200;suspect;And I think, you know, at one point, I mean, he may have been dating her or I don't know, maybe he was married. I don't even remember.;3
seg_0201;suspect;And I'm like, you know what? Why are you calling me if you're either dating her or living with her or married to her? I I cuz I honestly don't remember the time frame.;3
seg_0202;suspect;Um, and I'm like, come on, knock it off.;3
seg_0203;suspect;"And I'm And now I'm thinking I may I may have gone to her and say, ""Hey, you know what? You know what? Is he dating you? He's he's bothering me. """;3
seg_0204;suspect;Um, and so I'm thinking that we had a conversation about that.;3
seg_0205;suspect;Um, one or two maybe. I, you know, it could have been three. I don't want to say I had three conversations with her like at her work or at their at their house or;3
seg_0206;suspect;No, I'm thinking that I, you know, he obviously must have told me where she worked.;3
seg_0207;suspect;I'm thinking it was a hospital somewhere in LA.;3
seg_0208;suspect;And I just I mean, I could have been again, what year was that? Where was I working?;3
seg_0209;detective;Um, you know, I don't I don't I'm trying to think of where I when did you say they got married?;3
seg_0210;detective;I don't know. I think it was like in ' 85 or '86 or something like that.;3
seg_0211;suspect;Yeah, we we we just kind of picked this up. We, you know, we don't know a lot about it.;3
seg_0212;detective;1945.;3
seg_0213;suspect;I mean, I could have been working in Hollywood, it sounds like, if if that's where I was working.;3
seg_0214;suspect;"Um, so I could have said, ""Okay, well, you know,"" and I went talked to her.";3
seg_0215;suspect;"Um, and just said, ""Hey, you know what? You know, if he's dating you, he's he's keeps calling me. Why don't you tell him to knock it off or whatever?""";3
seg_0216;suspect;And you know, because I probably would have told him to knock it off.;3
seg_0217;suspect;Who would have told John?;3
seg_0218;detective;"Oh, yeah. I mean, I would have said, ""Hey, you know,"" and again, but you wanted to tell her, too.";3
seg_0219;suspect;"Um, that's during the period of time of the earthquake that you're Well, no, probably probably after Scott moved in. I think I met Scott in April of '92. Oh, okay. Right before April of '92 cuz I was I I stopped teaching DARE think I stopped teaching Dare sometime in '92. Mhm. Um, and when you and when you say that you may have um, you know, that you talked to his wife, said, ""Hey,"" or, you know, I don't know if it was I guess it wasn't his wife at that time, girlfriend or whatever. And yeah, I don't know if it was his wife or I I I mean, quite honestly, I don't even remember when you said like, ""Hey, you know, he's calling me. He needs to knock it off or what have you."" I mean, was that was that civil? Was there I mean, oh, yeah. No, there was not. I don't think there was anything. It was the conversation lasted a few minutes. I can't even remember. And what is it like, you know, we went out to lunch or anything, right? But there was no like arguments or fights or it didn't get heated or anything like that. Not that I recall. No. I mean, I would think that would stand out. I would think. Now, again, that's not standing out in my mind.";2
seg_0220;detective;Um, you know, so you didn't have any problems with her then? You didn't have any issues with her?;3
seg_0221;suspect;No;3
seg_0222;detective;"but let me let me ask you, seems like you didn't have any issue. Now, did she have an issue with you as far as because now you're telling her, ""Hey, you know, tell him to stop calling now."" You know, she's like, ""Hey, you know, you figure she'd be threatened by you?"" You know, I've I don't know. I mean, from what you remember as far as when you talked to her, maybe you didn't take it as serious, but maybe, you know, did she was bugging? You mean like was she throwing things at me or something? Or";3
seg_0223;suspect;"Well, no. Just, you know, as far as you're trying to explain like, ""Hey, stop calling me, you know, stop playing games."" You know, I I tell you I if the conversation I couldn't even tell you how long the conversation if you said did it last a half an hour, did it last 3 minutes? Did it last 20 minutes? I can't even remember. It's been so long ago, you know.";3
seg_0224;detective;Um you just remember talking to her, telling her;3
seg_0225;suspect;Yeah;3
seg_0226;detective;And that's why you said how many times you talked to her. ;3
seg_0227;suspect;"I don't know how many times I talked to her. Maybe it was once, maybe it was twice, maybe it was three times, you know. I I honestly don't know. Um I I don't know what year it was. Um, if you if he said, ""I met her in such and such year,"" I'd go, ""Okay."" Well, I don't even know what year he met her.";3
seg_0228;suspect;Um, I graduated from, you see, in 1982. Okay. I graduated in ' 82. Like I said, I don't know if he graduated. I know he was a little older than I was. So, I don't know if he graduated a year before or two years before because people are on different um either on the four-year program or the 5-year program.;2
seg_0229;detective;Um, what year did you come on the job?;3
seg_0230;suspect;83. Oh, so almost pretty much immediately after you got out of school. Yeah, I worked at a law firm for a year. Um, and then came on the job. But anyway, in regards to seeing him, not seeing him, we went to friends weddings that were, you know, from UCLA. Um, I may have gone to some of his friends weddings from where he worked. Um, he may have gone to things with me, you know.;3
seg_0231;suspect;Um, you know, I mean, I I don't know how many times we went to do things, you know, or didn't do things, right? Like I said, his sister, um, um, I know his sister, uh, his brother, his sister, I know, stayed at my townhouse a number of times. I couldn't tell you how many times, right?;3
seg_0232;suspect;Um, I would watch his brother, you know, shoot, uh, take pictures at a basketball game or or two. Where was your townhouse at?;3
seg_0233;suspect;In Granada Hills. Um, below the Odyssey. I don't know. Oh, I'm sorry. The 405 and the five. Um, the 405 the the 405 turns into the five, the 118. Um, they they came down in the earthquake.;3
seg_0234;detective;Okay. So, Okay. And you're saying when you went to see her, do you would you remember if it was at her house or at the place she worked at?;3
seg_0235;suspect;No, I'm thinking that I'm thinking that it was probably for some reason I want to say that the hospital seemed that, you know, if you say he got married in 85 or something, I'm thinking that, you know, maybe the hospital was on my way to work in Hollywood. I mean, that's kind of sounding familiar;3
seg_0236;detective;Um, would you have gone on duty?;3
seg_0237;suspect;Oh, no. I'm I'm sure I wouldn't have. I No, I'm I'm pretty good about not doing stuff, you know. I mean, now I'm not saying that, you know, you haven't done stuff on duty, but I I I would have I mean, I would have been working with somebody.;3
seg_0238;suspect;Oh, yeah. You know, so I wouldn't I wouldn't think I mean, I try to avoid doing stuff on duty.;3
seg_0239;detective;So, so you would have gone if it was in route to work, you more than likely you would have gone to her work and had this discussion with her. I mean, that's sounding familiar. I mean, that's now that you guys are bringing this stuff up.;3
seg_0240;suspect;Um, I mean, it sound that sounds familiar. Um, but again, I mean, you know, what's I mean, what's this got to do with me dating him and, you know, her getting killed? I mean, I I don't, you know, I don't have anything to do with it.;3
seg_0241;suspect;And you got something that's somebody said, you know, whatever.;3
seg_0242;detective;I mean, well, like we said, we we just literally got this the other day and and you're going through it.;1
seg_0243;suspect;"Yeah. And you see, you saw me say, ""Oh, it's Nick's next door."" Right.";1
seg_0244;detective;And and so, you know, I mean, obviously, it's like we recognize the name. We know, you know, you work next door to us and so we're trying to get some background. We're trying to figure this out.;1
seg_0245;suspect;I mean, this is from a long time ago.;3
seg_0246;detective;"Oh, I know. You know, and and things have been kind of slow for us and so, you know, Chief Beck has said, ""Hey, you know, I want you guys working. I don't want you just sitting around reading the paper.""";1
seg_0247;detective;"So, he's kind of pushing some older cases out even to the guys that work active cases because, you know, and so we see this and we're just like, ""Oh, well, you know, we want to talk to you about it.""";3
seg_0248;detective;But, of course, the only reason we did it here is because we're getting into some pretty personal stuff in your relationship.;2
seg_0249;suspect;You know, my my husband's on the job and we've been married. You know, we don't want to take the risk. We don't want to take the risk.;3
seg_0250;detective;We're in one of those interview rooms and even when the door closed, someone's going to get supplies and see us on a monitor here or whatever.;3
seg_0251;suspect;I appreciate it. I mean, I appreciate, like I said, that's where people go when there's orals, you know, when they're doing orals, guys will go in there and try and watch. What are the answers to the questions, you know?;3
seg_0252;detective;I didn't know that.;3
seg_0253;suspect;Yeah. So, so we just we just want to afford you the most privacy and confidentiality we could.;3
seg_0254;detective;No, I appreciate and like I said, I mean this goes way back and I mean it was very sad, you know, obviously um I I haven't I you know I when we were in college, some of us would go down to his house in San Diego.;3
seg_0255;suspect;I I went down to his house with him, you know, um with with him.;3
seg_0256;detective;And I know I I'm trying to think of some other people that may have gone down.;3
seg_0257;suspect;Is that where he grew up? Is down there?;3
