id,segment_id,text,phase,source
lazarus_seg_0067,seg_0067,"So, you haven't talked to him for a long time?",1,original
lazarus_seg_0072,seg_0072,"But since you since you met your husband, Scott, you haven't talked to him?",1,original
lazarus_seg_0074,seg_0074,And who are those people?,1,original
lazarus_seg_0077,seg_0077,"I mean well let me ask you what ended the relationship between you and John girlfriend. Um we just we dated. We did things. cuz I played sports in college. He played basketball. His brother played basketball. Um, we just, you know, it just didn't work out. I mean, I don't know what to tell you. It was like I went out with other guys. Um, saw other guys. I went on lots of vacations.",1,original
lazarus_seg_0079,seg_0079,"Um, you know, and and once you guys split, were you guys still friends or kind of, you know, problems? Is it friendly? Not friendly?",1,original
lazarus_seg_0081,seg_0081,"Um, remember roughly when that was?",1,original
lazarus_seg_0083,seg_0083,Had you ever met his wife?,2,original
lazarus_seg_0085,seg_0085,Do you know do you remember her name or anything or um um or what she did for a living or where she worked or anything about her?,2,original
lazarus_seg_0088,seg_0088,"Well, let me ask you, did you go to their wedding?",2,original
lazarus_seg_0090,seg_0090,"Do you ever remember if you ever talked to her? cuz it seems like a lot of you who were at at the school at UCLA, you guys kind of were friends during and after school. So, I don't know if you guys still associated afterwards when once he was married or anything with him.",2,original
lazarus_seg_0093,seg_0093,"Well, do you know what happened to his wife?",2,original
lazarus_seg_0095,seg_0095,What did you What did you hear about that?,2,original
lazarus_seg_0097,seg_0097,Um and how did how did you first learn about that?,2,original
lazarus_seg_0099,seg_0099,Were you on the job back then when that happened?,2,original
lazarus_seg_0104,seg_0104,"I'm sure he must have mentioned it now. Now that you're bringing that up, I think she worked at a hospital somewhere.",2,original
lazarus_seg_0106,seg_0106,know but being that you were kind of you used to see uh John you know was it everything okay between you guys? I mean there wasn't every anything uncomfortable or anything between you and her?,2,original
lazarus_seg_0108,seg_0108,Where was his apartment?,2,original
lazarus_seg_0110,seg_0110,Okay. Yeah. Rosco in um um east or west of do uh either east or west of Dodto. Do you know where he moved after did he move after he got married or do you know or I'm sure he did. Did you know where he was living or somewhere in the valley? Did you ever visit him and his wife?,3,original
lazarus_seg_0113,seg_0113,You just put them all on your computer so you could have them accessible and do things with them.,3,original
lazarus_seg_0115,seg_0115,"Oh, yeah. How long did that take them?",3,original
lazarus_seg_0117,seg_0117,"Now, what what do they do they put that on a I'm just curious myself. And they put it on they get get all on one DVD. They don't need like a hard drive or anything.",3,original
lazarus_seg_0120,seg_0120,"Oh, they It's a series of DVDs that they put them on.",3,original
lazarus_seg_0122,seg_0122,"Oh, okay. So, you know, um I haven't had a chance to go through them.",3,original
lazarus_seg_0124,seg_0124,"Right. you know, so so like you said, did I, you know, I I don't think we ever socialized.",3,original
lazarus_seg_0127,seg_0127,How long was John married before his wife died?,3,original
lazarus_seg_0129,seg_0129,"And uh after his wife died, did did you talk to him again or or anything?",3,original
lazarus_seg_0131,seg_0131,Yeah.,3,original
lazarus_seg_0132,seg_0132,"Um, but you you don't you're not sure where he moved to after he got married?",3,original
lazarus_seg_0137,seg_0137,But you don't remember specifically ever going over to visit him or visit them at where wherever he moved when he left Rosco?,3,original
lazarus_seg_0140,seg_0140,"So, if you did go over there, it just be like a a quick thing like like you're saying, ""Drop something off or maybe?""",3,original
lazarus_seg_0141,seg_0141,"Um, but you don't remember as far as like going there to have dinner or like a social anything at the house, party?",3,original
lazarus_seg_0143,seg_0143,"I mean, but after uh John's wife died and you said you may have been talking to him. Did uh your relationship start up again?",4,original
lazarus_seg_0145,seg_0145,"Um again, can you give me a year?",3,original
lazarus_seg_0147,seg_0147,"Yeah, I think it was 86.",3,original
lazarus_seg_0149,seg_0149,"Um, like I said, I'm I'm faintly remembering that um I went to Hawaii with my friend Greg. Greg and I got certified for scuba diving.",3,original
lazarus_seg_0160,seg_0160,Um you still in touch with him?,3,original
lazarus_seg_0162,seg_0162,"Oh, really?",3,original
lazarus_seg_0166,seg_0166,"So, um and and not I wouldn't even say I couldn't even tell you for how long because then it would say we decided you know it wasn't working out and we'd be better friends and you know he introduced me I think to some other guy on that who now is on LAPD.",3,original
lazarus_seg_0170,seg_0170,Yeah. I you know so again I mean not like I was a huge floozy or anything but,3,original
lazarus_seg_0172,seg_0172,yeah Randy was like an engineer at the time uh he was like a some kind of an engineer on a truck on a rig on a fire truck,3,original
lazarus_seg_0174,seg_0174,"I see. So, um, getting back to some stuff, as far as you recall, after John's wife died, I did you start a relationship again with with John or dating casually or anything like that?",3,original
lazarus_seg_0176,seg_0176,"Okay. Um, that was something you guys kind of planned together like go as a group or you ran into him or",3,original
lazarus_seg_0178,seg_0178,Right.,3,original
lazarus_seg_0182,seg_0182,"Um, does he still talk to him?",3,original
lazarus_seg_0185,seg_0185,"Um, I mean, when when you heard about uh John's wife being killed, I mean, what was your what was your reaction? I mean, did you thought you heard about it what through a friend or in a bulletin or something?",3,original
lazarus_seg_0188,seg_0188,"Um you know, um do you know what the circumstances regarding her death?",3,original
lazarus_seg_0195,seg_0195,"Um, do you remember her first name?",3,original
lazarus_seg_0197,seg_0197,Yeah.,3,original
lazarus_seg_0209,seg_0209,"Um, you know, I don't I don't I'm trying to think of where I when did you say they got married?",3,original
lazarus_seg_0210,seg_0210,I don't know. I think it was like in ' 85 or '86 or something like that.,3,original
lazarus_seg_0212,seg_0212,1945.,3,original
lazarus_seg_0218,seg_0218,"Oh, yeah. I mean, I would have said, ""Hey, you know,"" and again, but you wanted to tell her, too.",3,original
lazarus_seg_0220,seg_0220,"Um, you know, so you didn't have any problems with her then? You didn't have any issues with her?",3,original
lazarus_seg_0222,seg_0222,"but let me let me ask you, seems like you didn't have any issue. Now, did she have an issue with you as far as because now you're telling her, ""Hey, you know, tell him to stop calling now."" You know, she's like, ""Hey, you know, you figure she'd be threatened by you?"" You know, I've I don't know. I mean, from what you remember as far as when you talked to her, maybe you didn't take it as serious, but maybe, you know, did she was bugging? You mean like was she throwing things at me or something? Or",3,original
lazarus_seg_0224,seg_0224,"Um you just remember talking to her, telling her",3,original
lazarus_seg_0226,seg_0226,And that's why you said how many times you talked to her.,3,original
lazarus_seg_0229,seg_0229,"Um, what year did you come on the job?",3,original
lazarus_seg_0234,seg_0234,"Okay. So, Okay. And you're saying when you went to see her, do you would you remember if it was at her house or at the place she worked at?",3,original
lazarus_seg_0236,seg_0236,"Um, would you have gone on duty?",3,original
lazarus_seg_0239,seg_0239,"So, so you would have gone if it was in route to work, you more than likely you would have gone to her work and had this discussion with her. I mean, that's sounding familiar. I mean, that's now that you guys are bringing this stuff up.",3,original
lazarus_seg_0242,seg_0242,"I mean, well, like we said, we we just literally got this the other day and and you're going through it.",1,original
lazarus_seg_0244,seg_0244,"And and so, you know, I mean, obviously, it's like we recognize the name. We know, you know, you work next door to us and so we're trying to get some background. We're trying to figure this out.",1,original
lazarus_seg_0246,seg_0246,"Oh, I know. You know, and and things have been kind of slow for us and so, you know, Chief Beck has said, ""Hey, you know, I want you guys working. I don't want you just sitting around reading the paper.""",1,original
lazarus_seg_0247,seg_0247,"So, he's kind of pushing some older cases out even to the guys that work active cases because, you know, and so we see this and we're just like, ""Oh, well, you know, we want to talk to you about it.""",3,original
lazarus_seg_0248,seg_0248,"But, of course, the only reason we did it here is because we're getting into some pretty personal stuff in your relationship.",2,original
lazarus_seg_0250,seg_0250,"We're in one of those interview rooms and even when the door closed, someone's going to get supplies and see us on a monitor here or whatever.",3,original
lazarus_seg_0252,seg_0252,I didn't know that.,3,original
lazarus_seg_0254,seg_0254,"No, I appreciate and like I said, I mean this goes way back and I mean it was very sad, you know, obviously um I I haven't I you know I when we were in college, some of us would go down to his house in San Diego.",3,original
lazarus_seg_0256,seg_0256,And I know I I'm trying to think of some other people that may have gone down.,3,original
lazarus_seg_0258,seg_0258,"Yeah, down in San Diego.",3,original
lazarus_seg_0260,seg_0260,Mhm.,3,original
lazarus_seg_0262,seg_0262,"Um, you know, I'm sure his dad's probably retired by now. He was I think older.",3,original
lazarus_seg_0263,seg_0263,"Um even back then, right?",3,original
lazarus_seg_0265,seg_0265,Did he tell you what happened? Like what he heard from the detectives or the police or,3,original
lazarus_seg_0266,seg_0266,You know what? He may have um for some reason I'm thinking that I mean again this is like drugs or something.,3,original
lazarus_seg_0268,seg_0268,"You know, I don't know that he said she was involved or they thought she, you know, again, it's been so long.",3,original
lazarus_seg_0270,seg_0270,"And I mean, like I said, I'm faintly remember either between him or the flyer.",3,original
lazarus_seg_0272,seg_0272,"Um, you know, let me ask, did the detectives ever reach out to you ever?",3,original
lazarus_seg_0274,seg_0274,"Um, it seems like back.",3,original
lazarus_seg_0276,seg_0276,"Um, God Well, what division was it in Van Ice?",3,original
lazarus_seg_0278,seg_0278,"You know, I'm thinking that I did speak to somebody.",3,original
lazarus_seg_0280,seg_0280,I couldn't tell you who it was because it doesn't it doesn't say anything.,3,original
lazarus_seg_0282,seg_0282,Okay.,3,original
lazarus_seg_0286,seg_0286,But you do remember that that someone you think reached out to you.,3,original
lazarus_seg_0289,seg_0289,Yeah. Let me get back uh to as far as when you said that uh John was calling you to to see you and during that time you felt that he was was felt he was either seeing her was he engaged or married. Did did you know?,3,original
lazarus_seg_0291,seg_0291,"During that time that you were seeing John, uh, you know, was he acting kind of, you know, kind of squirrely or kind of sneaking around when he'd hook up with you or anything like that?",1,original
lazarus_seg_0292,seg_0292,"Well, let's see from what early I met him in 78. No, I I met him in school. I started UCLA in 78. Um so you know him well during that period of time.",1,original
lazarus_seg_0293,seg_0293,Yeah. I mean was he acting squirrely?,3,original
lazarus_seg_0294,seg_0294,"let me ask you after he hooked up with uh if he was living on Rosco or wherever else he was living, right?",3,original
lazarus_seg_0296,seg_0296,"Well, after he hooked up with uh with Sherry, do you know uh where they were living?",3,original
lazarus_seg_0299,seg_0299,"the only reason I'm asking you again is because as we've been talking, I know some stuff has come to you cuz you're like, ""Oh, see, you know, so that's why I'm asking if you ever been to the house. """,3,original
lazarus_seg_0301,seg_0301,"Um, do you ever have gone there?",3,original
lazarus_seg_0304,seg_0304,"Um you know, so as far as for social events or anything, I mean it's I mean you're not sure if you ever been to the house cuz But it's safe to say that would have been the only time like for something social.",3,original
lazarus_seg_0306,seg_0306,"But would this ever have followed up to her house when you went to talk to her to say, hey, you know what?",3,original
lazarus_seg_0309,seg_0309,"I mean, but you didn't have any issues with her, right?",3,original
lazarus_seg_0312,seg_0312,"Um you know, but you'll call us or I mean, you'll just come over to our desk and tell us.",1,original
lazarus_seg_0318,seg_0318,"Um, uh, but Sherry wasn't part of this circle.",3,original
lazarus_seg_0321,seg_0321,"Well, one of the concerns I had is looking at some of the notes is uh some of Sherry's friends said that you and her were having a problem because of the John situation.",4,original
lazarus_seg_0326,seg_0326,"Well, that's what I'm reading is that you guys had problems with each other and words are being exchanged and it's all relating to John.",4,original
lazarus_seg_0328,seg_0328,You can't say?,4,original
lazarus_seg_0330,seg_0330,"You would recall something if somebody's going off on you, right?",4,original
lazarus_seg_0332,seg_0332,Yeah. cuz it seems like your relationship with John was kind of I mean you've known each other for a lot of years.,4,original
lazarus_seg_0334,seg_0334,"I mean, would you say there wasn't a lot of drama in this relationship?",4,original
lazarus_seg_0336,seg_0336,"Okay. Yeah. I mean, that's why I'm asking as far as what the friends are saying in regards to this, you know, the problems that they're saying you were having with with Sherry. I mean, it seems like the relationship is just going on even plain.",4,original
lazarus_seg_0338,seg_0338,"And cuz from what you're telling me is when you guys met at the hospital, uh I mean you guys talked but it wasn't from what you recall confrontational think from either side.",4,original
lazarus_seg_0340,seg_0340,"Well, let me ask you. I mean, at the hospital, it never got to the point where people are going, ""Hey, hey, you know, go to everybody go to your own culinary type of thing.""",4,original
lazarus_seg_0343,seg_0343,"Was there ever a time when you and Sher were talking and John had to maybe like get you guys relax, you know, or anything like that?",4,original
lazarus_seg_0347,seg_0347,"Cuz I mean I know the way my wife is at our house, she wouldn't want my own girlfriends there, you know. So, I don't know if maybe she had the same mentality towards you. If as far as you ever being there or being welcome there, you know, because it's you know what, if somebody said I was there when they were there, then that's possible, but I just I I don't recall.",4,original
lazarus_seg_0349,seg_0349,"Yeah. Cuz I guess basically what I'm asking is, you know, were you ever welcomed to the house? Like, you know, hey Oh, come over.",4,original
lazarus_seg_0350,seg_0350,"Yeah, come on over. We're having a barbecue, you know, a dinner party. Christmas party or whatever.",4,original
lazarus_seg_0356,seg_0356,do you remember what he what he drove?,2,original
lazarus_seg_0358,seg_0358,Any other cars that stand out in your mind?,2,original
lazarus_seg_0361,seg_0361,"Um, what kind of car did you have back then?",3,original
lazarus_seg_0363,seg_0363,"No, no, no. I've only had like a few cars in my whole life.",3,original
lazarus_seg_0367,seg_0367,Do you ever have any problems with your cars? Just anything in general. Car wrecks. Anything stolen?,3,original
lazarus_seg_0369,seg_0369,"Oh, yeah. They My cars have been broken into. Um, you know, but no cars have ever been stolen. Mhm. How long? Well, when Tell me about this uh car getting broken into.",3,original
lazarus_seg_0371,seg_0371,"Oh, really? Did you ever lose anything or?",4,original
lazarus_seg_0373,seg_0373,"Not a duty gun, was it?",4,original
lazarus_seg_0375,seg_0375,"Oh, that's good. Um, has it ever recovered?",4,original
lazarus_seg_0377,seg_0377,Car's been broken into. Where did that happen? when your gun was taken?,4,original
lazarus_seg_0379,seg_0379,Um who lives there?,4,original
lazarus_seg_0381,seg_0381,"So, is your mom still around?",2,original
lazarus_seg_0383,seg_0383,Your dad?,2,original
lazarus_seg_0385,seg_0385,"Oh, really?",2,original
lazarus_seg_0387,seg_0387,"Yeah, I couldn't tell you. Well, like I said, as we were looking at the case and you know, we had read the notes as far as from uh Sherry's friend saying you you guys had problems or words, they got heated. You know, the reason we're asking you is they had mentioned that an incident at her house. And this is at her house during the period of time that they're married.  Work had occurred and they've also told us that an incident at her house occurred.",4,original
lazarus_seg_0389,seg_0389,And other people were there.,4,original
lazarus_seg_0391,seg_0391,And this is an incident where you showed up. You weren't supposed to show up and things got heated at his house?,4,original
lazarus_seg_0392,seg_0392,Yeah. That I you know I that just doesn't sound familiar. I mean I you know it's not sounding familiar. So not at all.,4,original
lazarus_seg_0394,seg_0394,I I mean would you remember something like that? Well I would think but some sort of drama involving you know the other woman type of thing. Did you ever fight with her?,4,original
lazarus_seg_0396,seg_0396,Yeah. Did you ever duke it out with her?,4,original
lazarus_seg_0398,seg_0398,"Oh, I mean pretty specific.",4,original
lazarus_seg_0402,seg_0402,"I mean, would it be something you would remember? I mean, because it's I don't know if any other intense incidents in your life that have occurred, I mean, you'd recall those, right?",4,original
lazarus_seg_0403,seg_0403,"I mean, well, like a use of force at work or car crash, something you're involved in, you'd be like, ""Yeah, I remember. """,4,original
lazarus_seg_0404,seg_0404,"You would think I would remember. I mean, I would think if it was something that crazy.",4,original
lazarus_seg_0406,seg_0406,"I mean, a few at work.",4,original
lazarus_seg_0409,seg_0409,"Let me ask you. I mean, throughout your life, you know, would you remember the number of fights you've been involved in? And I don't mean kind of like a bump or something, just a a physical fight where you everybody's hitting each other, scratching, pulling, you know, whatever.",4,original
lazarus_seg_0412,seg_0412,"I mean, I'm If you're in this, too. If you're in this other girl's house and words are exchanged, I mean, you figure you'd recall.",4,original
lazarus_seg_0413,seg_0413,"I would think, especially if it got physical, right?",4,original
lazarus_seg_0414,seg_0414,"Well, I would think. And it's relating to, you know, a guy that you were dating, but she's dating now, you know, and it's just like a whole love triangle type of thing. I mean, you figure you'd remember that, right?",4,original
lazarus_seg_0415,seg_0415,"Well, I would think. So, I mean, what does she tell you?",4,original
lazarus_seg_0416,seg_0416,"Yeah. No, because I'm I mean I'm trying to I'm looking at the notes and these people are kind of I mean they're pointing the finger at you.",4,original
lazarus_seg_0418,seg_0418,"Yeah. So, you offh hand you don't recall ever going into her house and having words and physically, you know?",4,original
lazarus_seg_0419,seg_0419,"No. attacking her, her attacking you.",4,original
lazarus_seg_0421,seg_0421,"Okay. Well, on some of the uh on this case, you know, this is it occurred in ' 86, right? Uh detectives processed the scene, things of that nature. Uh they did fingerprints and all that stuff. You know, well, you know, the standard stuff. I mean, you been doing this longer than I have.",4,original
lazarus_seg_0424,seg_0424,"We're trying to figure out what happened, Stephanie.",4,original
lazarus_seg_0426,seg_0426,"I mean, well, I know, but you know, you're not you're not under arrest. You can walk out when you can leave whenever you like.",4,original
lazarus_seg_0430,seg_0430,"I understand. No, that's why we're telling you. I mean, you're free to go whenever you want. If if this makes you uncomfortable and you want to now you're starting to make me uncomfortable.",4,original
lazarus_seg_0431,seg_0431,The thing is I mean detectives did what they could at that time on the crime scene.,4,original
lazarus_seg_0433,seg_0433,I go but now we're looking at everything else on the case cuz nobody was ever arrested on the case.,4,original
lazarus_seg_0435,seg_0435,"Okay. Now what we'd like to do is obviously you know about all the DNA stuff and things of the nature that you know gets done on cases nowadays. You know, if we asked you for a DNA swab, would you be willing to give us one?",4,original
lazarus_seg_0437,seg_0437,"Okay. I mean, well, I cuz I know how this stuff works.",4,original
lazarus_seg_0439,seg_0439,"Yeah, we know.",4,original
lazarus_seg_0441,seg_0441,"Well, what it gets to on these on these cases, and you know it as well as I do, our job is to identify and eliminate substance.",4,original
lazarus_seg_0443,seg_0443,"So, if we ask you to the point to give us a DNA sample, a bugal swab, so we can identify or eliminate you, would you be willing to do that?",5,original
lazarus_seg_0445,seg_0445,"evidence, it's, you know, it's possible we may have some DNA at the location. That's great. And we're going to do what we can to try to put this thing together. and your name's in the book. These people are pointing at you for whatever reason. I don't know why. That's just crazy. I mean, that's just that's absolutely crazy. And it would be irresponsible on our part not to look at it.",5,original
lazarus_seg_0447,seg_0447,"That's I mean, we we understand that. I mean, if we were in your position, I mean, we would feel the same way.",5,original
lazarus_seg_0449,seg_0449,"Well, that's okay. All right. Well, thanks for giving me the courtesy. I wish it Thanks for your time.",5,original
lazarus_seg_0450,seg_0450,"Yeah. Thank you. All right, Stephanie. Take care.",5,original
lazarus_seg_0452,seg_0452,"Okay, give me one sec.",5,original
lazarus_seg_0453,seg_0453,"Okay, Stephanie, you know you have the right to remain silent. Do you understand?",5,original
lazarus_seg_0455,seg_0455,Anything you say may be used against you in court. Do you understand?,5,original
lazarus_seg_0457,seg_0457,You have the right to the presence of an attorney before and during any question. Do you understand?,5,original
lazarus_seg_0459,seg_0459,"If you cannot afford an attorney, one will be appointed for you free of charge before any questioning if you want. Do you understand?",5,original
lazarus_seg_0461,seg_0461,You want to talk to us right now?,5,original
lazarus_seg_0463,seg_0463,Okay. All right.,5,original
